id,title,first_name,last_name,other_name,email,phone,relationship,educational_level,occupation,address_id,alive_status,student_id,date_created
019c1792-b62a-7a31-a77a-d6bc466732a4,8,Stacy,Weber,Joanna,StacyJoannaWeber@example.com,"{""(563)386-1835"",""6216494166""}",Mother,2,20,BS-0253-2959,Alive,019c1792-b628-7b8f-acdd-a90f876fdb1e,2012-01-29
019c1792-b62c-71f9-92f0-a71c3e41256a,19,Max,Hawkins,N/A,MaxHawkins@example.com,"{""(467)998-2265"",""796-919-1746""}",Father,2,15,BS-0253-2959,Alive,019c1792-b628-7b8f-acdd-a90f876fdb1e,2024-06-29
019c1792-b62e-7e7f-a0b2-c7af6f7a23e9,4,Judith,Horton,N/A,JudithHorton@example.com,"{""(485)689-1743"",""(647)764-9748""}",Mother,1,17,BS-9843-7399,Alive,019c1792-b62d-7d6a-ba61-c469a1665eec,2020-03-02
019c1792-b62f-7838-a1e5-ade971427ece,20,Jeremy,Hammond,N/A,JeremyHammond@example.com,"{""(271)557-5859"",""3483685015""}",Father,1,2,BS-7159-1085,Alive,019c1792-b62d-7d6a-ba61-c469a1665eec,2015-10-30
019c1792-b632-7a5f-a50b-2eb179e3b122,2,Taylor,Zimmerman,N/A,TaylorZimmerman@example.com,"{""320-834-7903"",""891-506-3139""}",Mother,3,10,BS-6614-8245,Alive,019c1792-b631-7f8f-a0b8-ad7faad14e80,2012-03-20
019c1792-b633-779f-b5c9-c5ab72996069,22,Carlos,Harris,N/A,CarlosHarris@example.com,"{""9758432499"",""(349)865-1286""}",Father,2,10,BS-6614-8245,Alive,019c1792-b631-7f8f-a0b8-ad7faad14e80,2009-10-08
019c1792-b636-788c-9d01-8975c8846f56,1,Sharon,Smith,Holly,SharonHollySmith@example.com,"{""918-862-6731"",""(447)247-3759""}",Mother,4,1,BS-5182-3828,Alive,019c1792-b635-7569-810a-f3a3121fa361,2006-11-22
019c1792-b637-77f6-923b-5e456e7b2e0a,17,Martin,Rose,N/A,MartinRose@example.com,"{""2853066878"",""(870)850-7007""}",Father,5,17,BS-5182-3828,Alive,019c1792-b635-7569-810a-f3a3121fa361,1998-09-07
019c1792-b63a-79cf-b89c-dba3608db010,6,Laura,Davis,N/A,LauraDavis@example.com,"{""(963)766-2639"",""419-606-2274""}",Mother,2,16,BS-6121-2471,Alive,019c1792-b638-73ed-bb60-aa524564c264,2013-06-07
019c1792-b63b-7f32-97ab-7f96c35f1343,9,Cody,Maddox,Joshua,CodyJoshuaMaddox@example.com,"{""873-828-8214"",""4094054904""}",Father,2,15,BS-7254-6021,Alive,019c1792-b638-73ed-bb60-aa524564c264,2002-08-29
019c1792-b63e-7450-9758-d9f87c06240c,10,Sandra,Hayes,N/A,SandraHayes@example.com,"{""926-729-2196"",""5766959310""}",Mother,5,12,BS-1728-6530,Alive,019c1792-b63c-7bee-8b2a-f6fb08ffa70d,2006-04-14
019c1792-b63f-7220-bc14-e1fae56162e3,9,Jerry,Cook,Brent,JerryBrentCook@example.com,"{""(644)905-5059"",""928-549-4064""}",Father,4,15,BS-1728-6530,Alive,019c1792-b63c-7bee-8b2a-f6fb08ffa70d,2012-10-30
019c1792-b641-727c-bffd-a466a23fba8d,16,Amanda,Young,N/A,AmandaYoung@example.com,"{""956-801-5884"",""2528663665""}",Mother,5,10,BS-4094-8696,Alive,019c1792-b640-7dbd-a2b1-95e319e2c1a1,2011-08-29
019c1792-b643-7abe-8dcc-675efb547bd0,20,Ryan,Grant,Luis,RyanLuisGrant@example.com,"{""353-906-9928"",""725-494-7753""}",Father,1,6,BS-4094-8696,Alive,019c1792-b640-7dbd-a2b1-95e319e2c1a1,2023-10-16
019c1792-b645-78fa-809f-43eed18f4436,12,Jessica,Neal,N/A,JessicaNeal@example.com,"{""(953)988-0919"",""202-977-7981""}",Mother,2,15,BS-8342-3087,Alive,019c1792-b644-7d33-adb6-081330793ba1,2014-12-01
019c1792-b647-7b62-aeb9-1289ae9bc4e8,16,Joseph,Garcia,Hannah,JosephHannahGarcia@example.com,"{""605-914-2297"",""784-340-9814""}",Father,1,14,BS-8342-3087,Alive,019c1792-b644-7d33-adb6-081330793ba1,1997-06-13
019c1792-b649-7ff3-b221-9d25b28a9c3e,4,Melissa,Mills,Barbara,MelissaBarbaraMills@example.com,"{""3963727280"",""(777)331-3496""}",Mother,2,3,BS-6985-1503,Alive,019c1792-b648-7757-b2f2-52f8b840fea9,2001-09-17
019c1792-b64a-7473-bde7-32f9e3f541f3,11,Thomas,Sanchez,N/A,ThomasSanchez@example.com,"{""(876)359-1457"",""675-839-1374""}",Father,4,15,BS-4121-7061,Alive,019c1792-b648-7757-b2f2-52f8b840fea9,2020-12-04
019c1792-b64d-7d68-9e8c-e5c56a254f61,16,Jamie,Paul,Adam,JamieAdamPaul@example.com,"{""4159266462"",""636-689-5691""}",Mother,1,10,BS-1857-2430,Alive,019c1792-b64c-78d1-af6e-7d7f8067a375,2011-12-13
019c1792-b64e-7d5a-80b8-abcf1555b293,21,Eric,Garcia,Brian,EricBrianGarcia@example.com,"{""2214112497"",""3905235384""}",Father,2,6,BS-1857-2430,Alive,019c1792-b64c-78d1-af6e-7d7f8067a375,2011-04-05
